condition,benchmark,standard_benchmark,dungeon_benchmark,seed,replicate,iterations,evaluations,proposals,skipped,filled_cells,coverage_pct,mean_best_fitness,qd_score,skip_rate_pct,llm_enabled,surrogate_enabled,pyribs_version,pyribs_algo,elapsed_seconds,llm_stack_version,llm_model,llm_temperature,llm_top_p,llm_spec_hash,llm_fallback_rate_pct,llm_calls,llm_parse_success_rate,llm_mean_tile_distance,llm_parallel_emit,llm_parallel_workers,emit_llm_seconds,eval_seconds,run_dir
genetic,dungeon,False,True,0,,650,32500,32500,0,810,90.0,0.740703,599.969257,0.0,False,False,,,162.662,,,,,,,,,,,,,,/home/astarovo/LifeManifold/artifacts/experiments/q1-v4-dungeon-full-cpu/genetic/seed_0
genetic,dungeon,False,True,1,,650,32500,32500,0,810,90.0,0.760007,615.605795,0.0,False,False,,,184.223,,,,,,,,,,,,,,/home/astarovo/LifeManifold/artifacts/experiments/q1-v4-dungeon-full-cpu/genetic/seed_1
genetic,dungeon,False,True,2,,650,32500,32500,0,807,89.6667,0.840842,678.559644,0.0,False,False,,,186.61,,,,,,,,,,,,,,/home/astarovo/LifeManifold/artifacts/experiments/q1-v4-dungeon-full-cpu/genetic/seed_2
genetic,dungeon,False,True,3,,650,32500,32500,0,802,89.1111,0.78653,630.797212,0.0,False,False,,,168.379,,,,,,,,,,,,,,/home/astarovo/LifeManifold/artifacts/experiments/q1-v4-dungeon-full-cpu/genetic/seed_3
genetic,dungeon,False,True,4,,650,32500,32500,0,806,89.5556,0.80443,648.370356,0.0,False,False,,,166.184,,,,,,,,,,,,,,/home/astarovo/LifeManifold/artifacts/experiments/q1-v4-dungeon-full-cpu/genetic/seed_4
genetic,dungeon,False,True,5,,650,32500,32500,0,810,90.0,0.781336,632.88178,0.0,False,False,,,166.591,,,,,,,,,,,,,,/home/astarovo/LifeManifold/artifacts/experiments/q1-v4-dungeon-full-cpu/genetic/seed_5
genetic,dungeon,False,True,6,,650,32500,32500,0,787,87.4444,0.809438,637.027867,0.0,False,False,,,185.106,,,,,,,,,,,,,,/home/astarovo/LifeManifold/artifacts/experiments/q1-v4-dungeon-full-cpu/genetic/seed_6
genetic,dungeon,False,True,7,,650,32500,32500,0,804,89.3333,0.764367,614.551097,0.0,False,False,,,156.493,,,,,,,,,,,,,,/home/astarovo/LifeManifold/artifacts/experiments/q1-v4-dungeon-full-cpu/genetic/seed_7
genetic,dungeon,False,True,8,,650,32500,32500,0,803,89.2222,0.762634,612.394786,0.0,False,False,,,171.982,,,,,,,,,,,,,,/home/astarovo/LifeManifold/artifacts/experiments/q1-v4-dungeon-full-cpu/genetic/seed_8
genetic,dungeon,False,True,9,,650,32500,32500,0,809,89.8889,0.75839,613.537497,0.0,False,False,,,237.813,,,,,,,,,,,,,,/home/astarovo/LifeManifold/artifacts/experiments/q1-v4-dungeon-full-cpu/genetic/seed_9
genetic_filter,dungeon,False,True,0,,650,22859,32500,9641,783,87.0,0.788468,617.370115,29.6646,False,True,,,161.474,,,,,,,,,,,,,,/home/astarovo/LifeManifold/artifacts/experiments/q1-v4-dungeon-full-cpu/genetic_filter/seed_0
genetic_filter,dungeon,False,True,1,,650,22220,32500,10280,807,89.6667,0.817016,659.332236,31.6308,False,True,,,238.657,,,,,,,,,,,,,,/home/astarovo/LifeManifold/artifacts/experiments/q1-v4-dungeon-full-cpu/genetic_filter/seed_1
genetic_filter,dungeon,False,True,2,,650,22776,32500,9724,798,88.6667,0.822469,656.330614,29.92,False,True,,,166.654,,,,,,,,,,,,,,/home/astarovo/LifeManifold/artifacts/experiments/q1-v4-dungeon-full-cpu/genetic_filter/seed_2
genetic_filter,dungeon,False,True,3,,650,22712,32500,9788,807,89.6667,0.802342,647.490118,30.1169,False,True,,,177.032,,,,,,,,,,,,,,/home/astarovo/LifeManifold/artifacts/experiments/q1-v4-dungeon-full-cpu/genetic_filter/seed_3
genetic_filter,dungeon,False,True,4,,650,22433,32500,10067,809,89.8889,0.756884,612.318857,30.9754,False,True,,,184.419,,,,,,,,,,,,,,/home/astarovo/LifeManifold/artifacts/experiments/q1-v4-dungeon-full-cpu/genetic_filter/seed_4
genetic_filter,dungeon,False,True,5,,650,22501,32500,9999,799,88.7778,0.793805,634.25007,30.7662,False,True,,,146.623,,,,,,,,,,,,,,/home/astarovo/LifeManifold/artifacts/experiments/q1-v4-dungeon-full-cpu/genetic_filter/seed_5
genetic_filter,dungeon,False,True,6,,650,22155,32500,10345,761,84.5556,0.82115,624.895434,31.8308,False,True,,,160.079,,,,,,,,,,,,,,/home/astarovo/LifeManifold/artifacts/experiments/q1-v4-dungeon-full-cpu/genetic_filter/seed_6
genetic_filter,dungeon,False,True,7,,650,22229,32500,10271,810,90.0,0.794665,643.678924,31.6031,False,True,,,149.685,,,,,,,,,,,,,,/home/astarovo/LifeManifold/artifacts/experiments/q1-v4-dungeon-full-cpu/genetic_filter/seed_7
genetic_filter,dungeon,False,True,8,,650,22471,32500,10029,807,89.6667,0.778516,628.262659,30.8585,False,True,,,146.11,,,,,,,,,,,,,,/home/astarovo/LifeManifold/artifacts/experiments/q1-v4-dungeon-full-cpu/genetic_filter/seed_8
genetic_filter,dungeon,False,True,9,,650,22448,32500,10052,810,90.0,0.721959,584.78685,30.9292,False,True,,,154.666,,,,,,,,,,,,,,/home/astarovo/LifeManifold/artifacts/experiments/q1-v4-dungeon-full-cpu/genetic_filter/seed_9
