condition,benchmark,standard_benchmark,dungeon_benchmark,seed,replicate,iterations,evaluations,proposals,skipped,filled_cells,coverage_pct,mean_best_fitness,qd_score,skip_rate_pct,llm_enabled,surrogate_enabled,pyribs_version,pyribs_algo,elapsed_seconds,llm_stack_version,llm_model,llm_temperature,llm_top_p,llm_spec_hash,llm_fallback_rate_pct,llm_calls,llm_parse_success_rate,llm_mean_tile_distance,llm_parallel_emit,llm_parallel_workers,emit_llm_seconds,eval_seconds,run_dir
genetic,dungeon,False,True,0,,100,5000,5000,0,558,62.0,0.696323,388.54797,0.0,False,False,,,22.981,,,,,,,,,,,,,,/home/astarovo/LifeManifold/artifacts/experiments/q1-v4-dungeon-rerun/genetic/seed_0
genetic,dungeon,False,True,1,,100,5000,5000,0,458,50.8889,0.730811,334.711497,0.0,False,False,,,22.733,,,,,,,,,,,,,,/home/astarovo/LifeManifold/artifacts/experiments/q1-v4-dungeon-rerun/genetic/seed_1
genetic,dungeon,False,True,2,,100,5000,5000,0,518,57.5556,0.778246,403.131613,0.0,False,False,,,25.897,,,,,,,,,,,,,,/home/astarovo/LifeManifold/artifacts/experiments/q1-v4-dungeon-rerun/genetic/seed_2
genetic,dungeon,False,True,3,,100,5000,5000,0,481,53.4444,0.721326,346.957792,0.0,False,False,,,20.134,,,,,,,,,,,,,,/home/astarovo/LifeManifold/artifacts/experiments/q1-v4-dungeon-rerun/genetic/seed_3
genetic,dungeon,False,True,4,,100,5000,5000,0,480,53.3333,0.767898,368.59095,0.0,False,False,,,18.982,,,,,,,,,,,,,,/home/astarovo/LifeManifold/artifacts/experiments/q1-v4-dungeon-rerun/genetic/seed_4
genetic,dungeon,False,True,5,,100,5000,5000,0,509,56.5556,0.736405,374.830025,0.0,False,False,,,20.747,,,,,,,,,,,,,,/home/astarovo/LifeManifold/artifacts/experiments/q1-v4-dungeon-rerun/genetic/seed_5
genetic,dungeon,False,True,6,,100,5000,5000,0,468,52.0,0.75556,353.602203,0.0,False,False,,,21.229,,,,,,,,,,,,,,/home/astarovo/LifeManifold/artifacts/experiments/q1-v4-dungeon-rerun/genetic/seed_6
genetic,dungeon,False,True,7,,100,5000,5000,0,502,55.7778,0.726655,364.780869,0.0,False,False,,,19.588,,,,,,,,,,,,,,/home/astarovo/LifeManifold/artifacts/experiments/q1-v4-dungeon-rerun/genetic/seed_7
genetic,dungeon,False,True,8,,100,5000,5000,0,471,52.3333,0.731185,344.388026,0.0,False,False,,,21.271,,,,,,,,,,,,,,/home/astarovo/LifeManifold/artifacts/experiments/q1-v4-dungeon-rerun/genetic/seed_8
genetic,dungeon,False,True,9,,100,5000,5000,0,489,54.3333,0.730607,357.267038,0.0,False,False,,,18.107,,,,,,,,,,,,,,/home/astarovo/LifeManifold/artifacts/experiments/q1-v4-dungeon-rerun/genetic/seed_9
genetic_filter,dungeon,False,True,0,,100,3235,5000,1765,467,51.8889,0.69923,326.540526,35.3,False,True,,,19.599,,,,,,,,,,,,,,/home/astarovo/LifeManifold/artifacts/experiments/q1-v4-dungeon-rerun/genetic_filter/seed_0
genetic_filter,dungeon,False,True,1,,100,3172,5000,1828,485,53.8889,0.765319,371.179954,36.56,False,True,,,21.441,,,,,,,,,,,,,,/home/astarovo/LifeManifold/artifacts/experiments/q1-v4-dungeon-rerun/genetic_filter/seed_1
genetic_filter,dungeon,False,True,2,,100,3239,5000,1761,469,52.1111,0.74665,350.178868,35.22,False,True,,,20.444,,,,,,,,,,,,,,/home/astarovo/LifeManifold/artifacts/experiments/q1-v4-dungeon-rerun/genetic_filter/seed_2
genetic_filter,dungeon,False,True,3,,100,3179,5000,1821,458,50.8889,0.751412,344.146618,36.42,False,True,,,18.92,,,,,,,,,,,,,,/home/astarovo/LifeManifold/artifacts/experiments/q1-v4-dungeon-rerun/genetic_filter/seed_3
genetic_filter,dungeon,False,True,4,,100,3202,5000,1798,475,52.7778,0.704242,334.514792,35.96,False,True,,,17.354,,,,,,,,,,,,,,/home/astarovo/LifeManifold/artifacts/experiments/q1-v4-dungeon-rerun/genetic_filter/seed_4
genetic_filter,dungeon,False,True,5,,100,3148,5000,1852,420,46.6667,0.741639,311.48858,37.04,False,True,,,18.821,,,,,,,,,,,,,,/home/astarovo/LifeManifold/artifacts/experiments/q1-v4-dungeon-rerun/genetic_filter/seed_5
genetic_filter,dungeon,False,True,6,,100,3177,5000,1823,435,48.3333,0.756025,328.870857,36.46,False,True,,,21.301,,,,,,,,,,,,,,/home/astarovo/LifeManifold/artifacts/experiments/q1-v4-dungeon-rerun/genetic_filter/seed_6
genetic_filter,dungeon,False,True,7,,100,3075,5000,1925,479,53.2222,0.74222,355.523577,38.5,False,True,,,19.518,,,,,,,,,,,,,,/home/astarovo/LifeManifold/artifacts/experiments/q1-v4-dungeon-rerun/genetic_filter/seed_7
genetic_filter,dungeon,False,True,8,,100,3136,5000,1864,391,43.4444,0.75504,295.220647,37.28,False,True,,,19.651,,,,,,,,,,,,,,/home/astarovo/LifeManifold/artifacts/experiments/q1-v4-dungeon-rerun/genetic_filter/seed_8
genetic_filter,dungeon,False,True,9,,100,3203,5000,1797,456,50.6667,0.723078,329.723686,35.94,False,True,,,16.951,,,,,,,,,,,,,,/home/astarovo/LifeManifold/artifacts/experiments/q1-v4-dungeon-rerun/genetic_filter/seed_9
llm_hints,dungeon,False,True,0,,100,5000,5000,0,330,36.6667,0.72945,240.718404,0.0,True,True,,,3854.395,,,,,,0.06802721088435373,3489,0.9993197278911564,3.779441797140912,,,,,/home/astarovo/LifeManifold/artifacts/experiments/q1-v4-dungeon-rerun/llm_hints/seed_0
llm_hints,dungeon,False,True,1,,100,5000,5000,0,300,33.3333,0.721274,216.382196,0.0,True,True,,,2590.977,,,,,,0.0,3558,1.0,3.8931972789115648,,,,,/home/astarovo/LifeManifold/artifacts/experiments/q1-v4-dungeon-rerun/llm_hints/seed_1
llm_hints,dungeon,False,True,2,,100,5000,5000,0,290,32.2222,0.737571,213.895544,0.0,True,True,,,4876.034,,,,,,0.0,3712,1.0,3.769387755102041,,,,,/home/astarovo/LifeManifold/artifacts/experiments/q1-v4-dungeon-rerun/llm_hints/seed_2
llm_hints,dungeon,False,True,3,,100,5000,5000,0,310,34.4444,0.724365,224.553003,0.0,True,True,,,1778.668,,,,,,0.03401360544217687,3752,0.9996598639455783,3.715889758421232,,,,,/home/astarovo/LifeManifold/artifacts/experiments/q1-v4-dungeon-rerun/llm_hints/seed_3
llm_hints,dungeon,False,True,4,,100,5000,5000,0,292,32.4444,0.748204,218.475642,0.0,True,True,,,3108.382,,,,,,0.0,3688,1.0,3.984013605442177,,,,,/home/astarovo/LifeManifold/artifacts/experiments/q1-v4-dungeon-rerun/llm_hints/seed_4
llm_hints,dungeon,False,True,5,,100,5000,5000,0,322,35.7778,0.715013,230.234237,0.0,True,True,,,3243.888,,,,,,0.0,3569,1.0,3.9238095238095236,,,,,/home/astarovo/LifeManifold/artifacts/experiments/q1-v4-dungeon-rerun/llm_hints/seed_5
llm_hints,dungeon,False,True,6,,100,5000,5000,0,343,38.1111,0.733809,251.69636,0.0,True,True,,,3489.811,,,,,,0.0,3682,1.0,3.75578231292517,,,,,/home/astarovo/LifeManifold/artifacts/experiments/q1-v4-dungeon-rerun/llm_hints/seed_6
llm_hints,dungeon,False,True,7,,100,5000,5000,0,340,37.7778,0.760081,258.42759,0.0,True,True,,,4346.152,,,,,,0.0,3467,1.0,4.23469387755102,,,,,/home/astarovo/LifeManifold/artifacts/experiments/q1-v4-dungeon-rerun/llm_hints/seed_7
llm_hints,dungeon,False,True,8,,100,5000,5000,0,343,38.1111,0.738083,253.162438,0.0,True,True,,,1670.987,,,,,,0.0,3381,1.0,4.048299319727891,,,,,/home/astarovo/LifeManifold/artifacts/experiments/q1-v4-dungeon-rerun/llm_hints/seed_8
llm_hints,dungeon,False,True,9,,100,5000,5000,0,334,37.1111,0.737126,246.20003,0.0,True,True,,,1785.623,,,,,,0.0,3589,1.0,4.179591836734694,,,,,/home/astarovo/LifeManifold/artifacts/experiments/q1-v4-dungeon-rerun/llm_hints/seed_9
llm_hints_filter,dungeon,False,True,0,,100,3274,5000,1726,315,35.0,0.720797,227.050972,34.52,True,True,,,3397.513,,,,,,0.13605442176870747,3559,0.998639455782313,3.917234332425068,,,,,/home/astarovo/LifeManifold/artifacts/experiments/q1-v4-dungeon-rerun/llm_hints_filter/seed_0
llm_hints_filter,dungeon,False,True,1,,100,3154,5000,1846,263,29.2222,0.728242,191.52764,36.92,True,True,,,2620.832,,,,,,0.0,3730,1.0,4.030952380952381,,,,,/home/astarovo/LifeManifold/artifacts/experiments/q1-v4-dungeon-rerun/llm_hints_filter/seed_1
llm_hints_filter,dungeon,False,True,2,,100,3149,5000,1851,249,27.6667,0.736058,183.278339,37.02,True,True,,,3650.934,,,,,,0.0,3589,1.0,3.7489795918367346,,,,,/home/astarovo/LifeManifold/artifacts/experiments/q1-v4-dungeon-rerun/llm_hints_filter/seed_2
